"REF_DATE","GEO","DGUID","Zero-Emission Vehicles Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","1342","","","","0"
"2019-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2878","","","","0"
"2019-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","3148","","","","0"
"2019-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2394","","","","0"
"2020-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2102","","","","0"
"2020-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","1640","","","","0"
"2020-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","3296","","","","0"
"2020-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","3477","","","","0"
"2021-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","3329","","","","0"
"2021-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","5096","","","","0"
"2021-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","5162","","","","0"
"2021-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","6129","","","","0"
"2022-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","7124","","","","0"
"2022-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","9534","","","","0"
"2022-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","11013","","","","0"
"2022-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","10991","","","","0"
"2023-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","8520","","","","0"
"2023-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","12797","","","","0"
"2023-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","14710","","","","0"
"2023-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","14105","","","","0"
"2024-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","11026","","","","0"
"2024-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","14377","","","","0"
"2024-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","15946","","","","0"
"2024-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","15251","","","","0"
"2017-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","10","","","","0"
"2017-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","16","","","","0"
