REF_DATE,GEO,DGUID,Fuel type,Vehicle type,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1889,,,,0
2017-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,0,,,,0
2017-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,0,,,,0
2017-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,0,,,,0
2017-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,2,,,,0
2018-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,2,,,,0
2018-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,4,,,,0
2018-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,4,,,,0
2018-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,1,,,,0
2019-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,3,,,,0
2019-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,6,,,,0
2019-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,12,,,,0
2019-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,4,,,,0
2020-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,1,,,,0
2020-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,1,,,,0
2020-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,19,,,,0
2020-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,3,,,,0
2021-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,11,,,,0
2021-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,2,,,,0
